policy,macro_f1,macro_auc,macro_precision,macro_recall,thr_SR,thr_AF,thr_IAVB,thr_LBBB,thr_RBBB,thr_PAC,thr_PVC,thr_STD,thr_STE
global_0.5,0.7141,0.9551,0.6726,0.8423,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
perclass_f1,0.7233,0.9551,0.7312,0.7718,0.47,0.89,0.37,0.57,0.31,0.66,0.7,0.61,0.69
perclass_fbeta1.0,0.7233,0.9551,0.7312,0.7718,0.47,0.89,0.37,0.57,0.31,0.66,0.7,0.61,0.69
perclass_fbeta1.25,0.7207,0.9551,0.7025,0.8007,0.26,0.89,0.37,0.57,0.31,0.59,0.7,0.6,0.69
perclass_fbeta1.5,0.7274,0.9551,0.6833,0.862,0.26,0.79,0.24,0.57,0.31,0.41,0.7,0.49,0.69
perclass_recall>=0.50,0.7408,0.9551,0.7182,0.822,0.47,0.89,0.37,0.57,0.31,0.48,0.7,0.61,0.69
