system,description,clean_f1,clean_auc,adaptive_auc,adaptive_f1,prd,threshold_policy
none,no defense,0.6398,0.9183,0.8766,0.5531,0.0,perclass_f1_refit
FixedDWT,"V1: 1-level Haar, global thr 0.12",0.6459,0.9192,0.8779,0.5534,5.27,perclass_f1_refit
DWT_L3_fixed,"3-level db4, fixed thr",0.6428,0.9163,0.8758,0.5374,7.18,perclass_f1_refit
adaptive_only,+ MAD adaptive sigma,0.6133,0.9059,0.8645,0.5167,11.72,perclass_f1_refit
full_no_guard,"+ scale-aware alpha, lead-aware beta",0.6091,0.9126,0.8711,0.5349,9.48,perclass_f1_refit
AWARD_full,+ tuned config (kappa/alpha/rho from 9b),0.6526,0.9199,0.8774,0.5678,3.11,perclass_f1_refit
