cpsc_class,auc,ap,f1,f2,precision,recall,specificity,support
SR,0.9641,0.9705,0.6807,0.5727,0.9929,0.5179,0.996,8125
AF,0.9437,0.5627,0.6376,0.7802,0.4888,0.9169,0.8766,1780
IAVB,0.9461,0.7886,0.7165,0.7634,0.65,0.7982,0.9661,1140
LBBB,0.9344,0.3928,0.3906,0.4907,0.2916,0.5917,0.9776,240
RBBB,0.9856,0.8946,0.8323,0.882,0.7608,0.9186,0.9637,1745
PAC,0.7105,0.2444,0.2653,0.3785,0.177,0.5291,0.7726,1321
PVC,0.8325,0.6153,0.5857,0.5052,0.7973,0.4628,0.9885,1385
STD,0.6391,0.1429,0.0898,0.076,0.1289,0.0689,0.9443,1668
STE,0.8039,0.0949,0.1093,0.2002,0.0623,0.4489,0.9229,176
